feature,importance
amount,0.1875557070170428
is_high_amount,0.11858389211082405
avg_amount,0.11503382580102646
std_amount,0.10883052479820285
risk_score,0.10662401361825792
amount_zscore,0.09960577890805351
hour,0.06210838353983088
location_encoded,0.05256788966702731
day_of_week,0.03527707945482613
merchant_category_encoded,0.027954167797656075
is_night,0.024749240616616326
transaction_count,0.02369043970164901
device_type_encoded,0.020252624974553293
is_business_hours,0.011022078758828494
is_weekend,0.006144353235605112
